CountryAndTerritory,data_latest_date,cases,0th,1st,2nd
Austria,2023-02-24,6345.0,0,0,0
Belarus,2023-02-24,0.0,0,0,0
Belgium,2023-02-24,0.0,0,0,0
Brazil,2023-02-24,11587.0,0,0,0
Canada,2023-02-24,730.0,0,0,0
Chile,2023-02-24,2434.0,0,0,0
China,2023-02-24,0.0,0,0,0
Ecuador,2023-02-24,0.0,0,0,0
France,2023-02-24,3917.0,0,0,0
Germany,2023-02-24,20974.0,0,0,0
India,2023-02-24,183.0,0,0,0
Indonesia,2023-02-24,236.0,0,0,0
Iran,2023-02-24,87.0,0,0,0
Ireland,2023-02-24,0.0,0,0,0
Israel,2023-02-24,563.0,0,0,0
Italy,2023-02-24,29438.0,0,0,0
Japan,2023-02-24,6512.0,0,0,0
Mexico,2023-02-24,0.0,0,0,1
Netherlands,2023-02-24,2429.0,0,0,0
Pakistan,2023-02-24,0.0,0,0,0
Peru,2023-02-24,513.0,0,0,0
Poland,2023-02-24,2650.0,1,0,0
Portugal,2023-02-24,0.0,0,1,1
Qatar,2023-02-24,0.0,0,0,0
Romania,2023-02-24,0.0,0,1,1
Russia,2023-02-24,13697.0,0,0,0
Saudi_Arabia,2023-02-24,48.0,0,0,0
Singapore,2023-02-24,0.0,0,0,0
South_Korea,2023-02-24,9913.0,0,0,0
Spain,2023-02-24,7380.0,0,0,0
Sweden,2023-02-24,0.0,0,0,0
Switzerland,2023-02-24,0.0,0,0,0
Turkey,2023-02-24,0.0,0,0,0
United_Arab_Emirates,2023-02-24,132.0,0,0,0
Ukraine,2023-02-24,132.0,1,1,1
United_Kingdom,2023-02-24,0.0,0,0,0
United_States_of_America,2023-02-24,14800.0,0,0,0
Tokyo,2023-02-25,1182.0,0,0,0
