CountryAndTerritory,data_latest_date,cases,0th,1st,2nd,0th_alarms,1st_alarms,2nd_alarms,sum_alarms,window_shrink_latest_date,sign_latest_date,predicted_window_shrink_date
Austria,2022-12-09,4043.0,0,0,0,1,6,0,7,2022-11-15,2022-12-02,2022-12-08
Belarus,2022-12-09,0.0,0,0,0,0,0,0,0,2022-07-05,,
Belgium,2022-12-09,0.0,0,0,0,7,1,0,8,2022-12-06,,
Brazil,2022-12-09,0.0,0,0,0,5,4,3,12,2022-12-04,,
Canada,2022-12-09,1903.0,0,0,0,2,15,3,20,2022-12-04,,
Chile,2022-12-09,3539.0,0,0,0,0,1,0,1,2022-09-20,2022-12-08,2022-10-06
China,2022-12-09,30786.0,0,0,0,1,8,2,11,2022-11-09,2022-12-08,2022-11-21
Ecuador,2022-12-09,0.0,0,0,0,4,0,0,4,2022-12-06,,
France,2022-12-09,63969.0,0,1,0,4,9,4,17,2022-12-01,2022-12-09,2022-12-14
Germany,2022-12-09,29605.0,0,0,0,4,5,4,13,2022-12-04,,
India,2022-12-09,210.0,0,0,0,4,8,6,18,2022-12-08,,
Indonesia,2022-12-09,2501.0,0,0,0,0,7,0,7,2022-10-28,2022-11-24,2022-11-30
Iran,2022-12-09,19.0,0,0,0,1,13,6,20,2022-11-19,2022-11-25,2022-12-01
Ireland,2022-12-09,0.0,0,0,0,5,0,0,5,2022-12-07,,
Israel,2022-12-09,1303.0,0,0,0,0,1,0,1,2022-09-24,2022-11-25,2022-10-06
Italy,2022-12-09,221324.0,1,0,0,5,0,0,5,2022-12-09,,
Japan,2022-12-09,127090.0,0,1,0,1,6,0,7,2022-11-27,2022-12-09,2022-12-15
Mexico,2022-12-09,0.0,0,0,0,5,0,0,5,2022-12-05,,
Netherlands,2022-12-09,2895.0,0,0,0,6,2,2,10,2022-12-05,,
Pakistan,2022-12-09,0.0,0,0,0,4,6,3,13,2022-12-02,2022-12-08,2022-12-14
Peru,2022-12-09,5536.0,0,0,0,2,4,1,7,2022-12-06,,
Poland,2022-12-09,250.0,0,0,0,0,7,3,10,2022-11-03,2022-12-05,2022-11-20
Portugal,2022-12-09,0.0,0,0,0,6,2,0,8,2022-12-08,,
Qatar,2022-12-09,511.0,0,0,0,1,5,0,6,2022-11-08,2022-11-29,2022-12-05
Romania,2022-12-09,0.0,0,0,0,3,2,1,6,2022-12-05,,
Russia,2022-12-09,7394.0,0,0,0,0,7,0,7,2022-10-31,2022-11-27,2022-12-03
Saudi_Arabia,2022-12-09,53.0,0,0,0,1,1,0,2,2022-11-22,2022-11-29,2022-12-05
Singapore,2022-12-09,1343.0,0,1,0,1,12,0,13,2022-11-16,2022-12-09,2022-12-15
South_Korea,2022-12-09,62608.0,0,0,0,1,7,0,8,2022-11-14,2022-12-06,2022-12-12
Spain,2022-12-09,17828.0,1,0,0,6,0,0,6,2022-12-09,,
Sweden,2022-12-09,0.0,0,0,0,5,0,0,5,2022-12-08,,
Switzerland,2022-12-09,0.0,0,0,0,5,0,0,5,2022-12-06,,
Turkey,2022-12-09,0.0,0,0,0,0,0,0,0,2022-10-13,,
Ukraine,2022-12-09,71.0,0,0,0,5,7,0,12,2022-12-08,,
United_Arab_Emirates,2022-12-09,122.0,0,0,0,1,12,9,22,2022-11-13,2022-11-29,2022-12-03
United_Kingdom,2022-12-09,0.0,0,0,0,5,0,0,5,2022-12-08,,
United_States_of_America,2022-12-09,36117.0,0,0,0,0,2,0,2,2022-10-19,2022-11-20,2022-10-31
Tokyo,2022-12-10,14558.0,0,1,0,1,12,0,13,2022-11-25,2022-12-10,2022-12-16
